粵拼,意思及例子,粵研社（粵語協會）,侯興泉
doek8,將肉或食物斬碎：～豬肉,剁,
doeng1,啄食、啄咬：雞～唔斷（咬著不放）,啄,
duk1,尾：沿住條路行到～,篤,
duk1,刺、捅：～穿個窿（捅個窿）、～背脊（打小報告）,厾,
duk1,一泡：一～尿，一～口水,篤,
dung6,竪：一橫一～（一橫一竪）、～喺度（竪放在那裏）,戙,
dyut1,形容肥：肥～～,嘟,
dyut1,擬聲詞，電子收費儀器之反應聲響。,嘟,
faak3,旋轉或旋轉攪拌：～蛋,𢪎,
faan1,回，上：～屋企（回家），～學（上學）,番,
fan3,睡覺：～覺、～唔着（睡不着）,瞓,
fat1,屁股：屎～（由洞窟類比為肛門，再借代為臀部）,忽,
fik1,源自英文fake，轉用作動詞，欺騙：～人,忽/fake,
fing6,懸吊時搖擺的狀態，吊兒郎當：～蒞～去，吊吊～,揈/𢫕,
fit1,英文fit的音譯字：健美：好～，～馬,弗,
fit1,用藤條或其它棒條抽打：～一下,拂,
fu3,戽水（往外潑水）、～被（睡覺踢被子）、～棋（下棋時快要輸的時候推翻棋盤不認賬）,戽,
gaa1,現在：而～，～下,家,
gaa2,句末語氣詞：你要話我知先得～（你要告訴我才行啊）,㗎/咖,
gaa3,句末語氣詞，表示陳述：佢好叻～（他很棒的）,㗎/咖,
gaa4,句末語氣詞，表示疑問：你識得佢～？（你認識他的？）,㗎/咖,
gaai3,沿物體表面劃：～玻璃、～紙刀、～親手（割傷手）,鎅/𠝹,
gaan2,肥皂：番～,梘,
gaat6,與「甴」連用：～甴（蟑螂）,曱,
gaau3,通常指兩部分的絞合處：～剪（剪刀）、門～（固定門的折疊處）、甩～（兩骨跟之間的軟骨移位了）,鉸,
gai1,燒香之骨柄：香～。香～腳，喻指又長又細的腳。,雞,
gai1,圓形繭（厚皮）：～眼,雞,
gai2,心聲、談話的内容：傾～（聊天），非寫為「傾計」,偈,
gai3,盤在頭頂或腦後的發結：丫角～,髻,
gam2,【1】代詞「這樣」：苦瓜～面（像苦瓜似的臉）、～都得？（這樣都可以？）【2】助詞「地」：好嬲～走咗（生氣地走了）,噉,
gam3,副詞「這麽」：天氣～熱（天氣這麽熱）、～犀利（這麽厲害）,咁,
gam4,形容黃黃的，通常有少少貶義：黃～～,黚,
gam6,按：～釘（圖釘）、～電掣（按電鈴）,撳,
gan2,表示進行中：你做～乜啊？（你正在幹什麽？）、睇～電視。（正在看電視）,緊,
gang2,必定：～係，贏～,梗,
gang2,觸着硬的不平的東西，或被硬物頂着：石仔～腳、有嘢～住我背脊。,哽,
gap3,合：～份（合份）、～埋（合起來）,佮,
gap3,用於動物名：～乸（青蛙）；花～（花甲）；～蚧；雪～,蛤,
gap3,目不轉睛地看，偷看：～住晒，～女,𥄫,
gat1,～咗一下（刺了一下）,㓤,
gat6,口~~、講嘢~下~下,,
gat6,踮起腳，或一上一下的樣子：～跛跛（單腳跳）、躝屍趷路（滾蛋）、～高（踮高腳）,趷,
gau1,【1】勃起之陰莖，未細分時也可指未勃起之陰莖。【2】疑問代詞，具侮辱性質的粗口：關你～事（關你屁事），你噏乜～？（你說什麼？）【3】表示“無物”：又話有飯食，食碌～咩！,𨳊/鳩,
gau6,塊：一～石頭、一～麵包,嚿,
ge3,【1】助詞「的」：我～書（我的書）,嘅,
geng6,小心：～住～住噉入去（小心翼翼地進去）、～惜吓啲嘢啦（愛護一下東西吧）,擏,
gip1,裝衣服的箱子，一般指出差旅行用的那種：皮～,喼,
gip1,喼汁：調味醬汁，是英語catsup的音譯詞,喼,
giu2,擦：～眼淚,撟,
go1,膝蓋：膝頭～,哥,
go2,那：～個人、嗰日（那天）,嗰,
goe4,服氣、呼氣：唔～（不服氣）,𢤹,
gong1,擡、擧：～住隻碗,掆,
gong6,動物身前的鉗子：蟹～（蟹螯）,弶,
gu2,【1】動詞，使人迷惑：～惑【2】形容詞，精乖、古靈精怪、鬼鬼祟祟的：呢個人～～惑惑（這人鬼鬼祟祟的）,蠱,
gui6,累：返工好～（上班很累），～賴賴,攰,
guk6,在一個封閉的環境加熱：～飯（燜飯）、翳～（悶熱，不通風）,焗,
gung1,刺鼻：～鼻,攻,
gwaa1,腿、臂的肌肉：腳～、手～,膼,
gwaa3,語氣助詞，類似疑問語氣的「吧」：你會應承～？（你會答應吧？）,啩,
gwaak3,打（耳光）：～幾巴（打幾個耳光）,摑,
gwaan3,摔、絆：～低（摔倒）,躀,
gwaat3,找人：～佢出嚟（找他出來）,刮,
gwai2,奸邪，內奸：奸～、內～、走～,鬼,
gwai2,古代盛食物的器具：九大～（形容菜肴非常豐盛），非寫為「九大鬼」,簋,
gwai3,食用魚：～花魚,桂,
gwak6,硬梆梆：硬～～,𥕏,
gwan2,液體溫度達到沸點而翻騰，溫度高：～水（開水）、水～（水開了）、火～（生氣）,滾,
gwat6,短尾：～尾狗；鈍：把刀好～；死胡同：～頭路,掘,
gyun1,鑽入，穿入，進入：～入去（爬進去）、～褲襠（從胯下爬過）,捐,
gyut6,一段，一截，一部分：一～～,闕,
haa1,欺負：～人,蝦,
haa1,嬰兒：臊（蘇）～,蝦,
haa2,疑問語氣詞，表示驚訝，或聼不清楚：～？唔係呀？（哎呀！不是吧？）、～？你講咩啊？,吓,
haa5,結構助詞，表示短暫的動作：嚇～你（嚇你一下）、睇～先（先看一下）,吓,
haai1,觸碰、沾、染：～油（佔小便宜）、～邊（觸到邊上）,揩,
haai4,澀，粗糙：粗～、條脷好～（舌頭很澀）、塊面好～（面很粗糙）,嚡,
haam3,【1】哭，注意廣州話不是指大聲叫：～得好淒涼、～苦～忽【2】大聲驚叫：喊驚。,喊,
haan1,【1】節省：～錢、～電。【2】缺：緣慳一面（陰錯陽差沒遇上）。,慳,
haap3,雙唇合起地嘗、吃：～醋（吃醋）,呷,
haau4,風騷、淫蕩：～婆（蕩婦）、發～（發情）,姣,
hai1,女性外生殖器；粗口：屌你老母～（草泥馬戈壁）,閪,
hai2,在：～屋企（在家裡）、～度（在這裏）,喺,
hai6,是：我～廣東人、～唔～,係,
ham2,（一般指頭）撞：～頭埋牆（把頭往牆上撞）,扻,
ham6,全，全部：～家（全家），～巴冷（合併）,冚,
han6,渴望得到：～咗好耐（想要了很久）、好～食（很想吃）,恨,
hang1,敲打：～佢個頭,亨,
hang1,臭：臭～～,鏗,
hang4,盡、極：風車轉到拫（風車轉得飛快）、油門踩到～（踩盡油門）,拫,
hap1,小睡、打瞌睡：～一陣（小睡一會）、～眼瞓,瞌,
hap1,欺負：～人,恰,
hat1,討人厭：～人憎,乞,
hau1,【1】盯、密切監視：睺實佢（盯住他）【2】趁：～佢唔注意（趁他不注意）,睺/吼,
hau1,珠江西岸（澳門、珠海、中山等）表示動作完成體，通「咗」，變～，做～,齁,
he3,頹廢，漫不經心：好～，去～,迆/迤/hea,
hei3,飼養，餵：跪地～豬乸（睇錢份上）,餼,
heoi1,市集：趁～（趕集）、一個～咁嘈（像市集那麽吵鬧）,墟,
hin3,獻醜於世：～世,獻,
hin3,烹調時用淀粉（豆粉）加水調成的濃汁：打～,芡,
hing3,【1】未觸碰熱物感到熱氣：啲水好～（水很熱）【2】激動、生氣：佢對我爆粗，我而家好～（他剛才對我說粗話，我現在很生氣）,㷫,
