字音（粤拼）,推荐字,异体字,同/近音字 (潜在异体字）,字（词）义
peng1,屏,凭拼？,？,椅子靠背
pau3,婄,？？穮,,松软；泡，不结实
pok1,？,？㿺,,泡儿；有勇气，大胆
prnig1,塳（塳）,埄？蓬,,像尘土一样随风扬起
saai1,嘥,？漇㩄,,浪费
saai3,晒（曬）,嗮嘥,,结构助词，表全部完成
saak3,？,？索？,,量词，用于切开的角形食物或表 示有方向性的地域
saang2,㨘,磢㗂,省搡,冲；擦；责骂
saap3,霎,烚？歰呁,圾,不成词语素，争论，反对。如 〜气
saap6,煠,炠？？烚熠,涩,在热水里煮
saau4,睄,？,捎哨,眼光掠过，匆匆一看
sam2,糁,审,沈婶,撒（粉末、颗粒之类）
sek3,惜,？？锡（錫）,,喜欢；疼爱；亲吻
seng3,？（鍟）,鉎,,锈
seot1,？,戌恤,裇恤,门窗的插销
sin3,骟,？？鏾,扇线？硟？,阉
sin3,？,？硟,扇線？？鏾？？,滑落，滑倒
sin3,？,骟硟,扇線先膳幡瑰蹦,旧时土布染好后再以石滚之使平滑
sip3,揳,㨝？榫摄？,涉,在底下或缝中垫、塞（片状物）
sit6/sik6,蚀（蝕）,？䞌,舌食,亏损；损耗
soe4,瀡,垂？,？？？,滑动；东西从上往下滑；滑落声
soek3,削,？？？汋,,疏松，稀薄太软，水分多；（肌 肉）松弛，不结实，体虚；（食 物）性寒凉；缺乏油水
sok3,嗍,欶欮索漱唓,？塑,吸；嗅
taai1,呔,？,舦肽,领带，是英语tie的音译词
taai5,舦,艜軚,,船舵
taan3,叹（歎）,？？儃,碳炭,享受，赚钱
taap3,䍇,塔塌䂿,榻,一种底宽口小的陶质的坛子
tam3,？（？）,凼？？？䐺,,愚弄；哄骗；劝诱；讨好
tam5,凼,氹？,,坑；洼
tan3,褪,蹆？,,移动，转移；后退
tap1,佮,？？,？,对准；拼合
tau2,唞,？？敨㪗,,休息
tim3/5,掭,舔㮇,,用毛笔蘸墨汁在砚台上弄均 匀；蘸
to4,佗,驮（馱）砣驼 (駝）拕,跎坨陀沱鸵,带，挂（在身上）
toi4/2,枱（檯）,台（臺）,抬苔舦,桌子；案子
waa2,搲,？,画话,抓，手指或爪抓
wai1,威,？,,美；漂亮（指小孩的衣着）；威 风。本字可能是“？”
wat1,炪,爩熅,屈愠,用烟熏
wo5,喎,？啝,涴脶？,语气词，表示转告别人的意见
wo5,涴,碢？脶,？啝喎,脏，坏，变质；比喻失败、落空
zaa2,苴,笮鲊,,劣；次；水平低
zaa6,拃,秺柞,,用于用手抓起的或捆成一手可抓 起的小束的东西；把
zaam2,？（䁪）,？斬蹔,,眨眼
zaap3/zaat,扎（紮）,札,,驻扎，驻防；缠，捆扎
zaak3,碛（磧）,责矺笮,,压，砸。本字可能是“笮”
zaang1,？（？）,？争,踭㬹（？）,欠
zaang1,踭,睁（睜）,睜睜爭,脚跟
zaau6,棹,掉擢,,用橹使船前进，摇（桨）
zai3,？,？？制制,掣济祭,做或干；愿意
zai6,滞,哜,,动态助词，太过的标记
ze1,啫,脽嗻,遮姐,语气词，表示不过如此
zeot1,捽,幯揤椊,隍卒蜶,搓；擦；揉
zi1,螆,蛓？螆,之支枝芝吱知 脂姿滋资,虱子；寄生虫；疥虫
zit1,？（擳）,瀄？㘉,揤,挤出
zo2,咗,？唨,阻左,完结，结束
zoe1,朘,啫脽,嗻,小孩子的阳物
zong1,？,？？？朡,装妆庄,偷看，偷窥
zuk6,赎,续,？噈,找钱（买卖时找零钱）；用财物 换回抵押品
zung6,重,仲,,还；更加
zyut1/3,嘬,啜諁歠,,吻，亲；吸
